Passer,Receiver,Passes
Kitchen,Rene,1.0
Kitchen,Walder,1.0
Matze,Alan,4.0
Matze,Throwaway,2.0
Matze,Aze,13.0
Matze,Brandon,0.0
Matze,Cafi,0.0
Matze,Chris,4.0
Matze,Connor,0.0
Matze,Dave,0.0
Matze,Davide,0.0
Matze,Flex,2.0
Matze,Flo,16.0
Matze,Franz,0.0
Matze,Hans,23.0
Matze,Kitchen,0.0
Matze,Mike,8.0
Matze,Misch,0.0
Matze,Moritz,0.0
Matze,Mou K.,0.0
Matze,Rainer,4.0
Matze,Rene,0.0
Matze,Walder,0.0
Mike,Alan,3.0
Mike,Throwaway,0.0
Mike,Aze,7.0
Mike,Brandon,0.0
Mike,Cafi,0.0
Mike,Chris,3.0
Mike,Connor,0.0
Mike,Dave,0.0
Mike,Davide,0.0
Mike,Flex,0.0
Mike,Flo,5.0
Mike,Franz,0.0
Mike,Hans,4.0
Mike,Kitchen,0.0
Mike,Matze,14.0
Mike,Misch,0.0
Mike,Moritz,1.0
Mike,Mou K.,0.0
Mike,Rainer,2.0
Mike,Rene,0.0
Mike,Walder,0.0
Misch,Alan,0.0
Misch,Throwaway,3.0
Misch,Aze,0.0
Misch,Brandon,1.0
Misch,Cafi,0.0
Misch,Chris,0.0
Misch,Connor,4.0
Misch,Dave,1.0
Misch,Davide,0.0
Misch,Flex,0.0
Misch,Flo,0.0
Misch,Franz,0.0
Misch,Hans,0.0
Misch,Kitchen,1.0
Misch,Matze,0.0
Misch,Mike,0.0
Misch,Moritz,0.0
Misch,Mou K.,1.0
Misch,Rainer,0.0
Misch,Rene,1.0
Misch,Walder,3.0
Moritz,Alan,0.0
Moritz,Throwaway,3.0
Moritz,Aze,0.0
Moritz,Brandon,0.0
Moritz,Cafi,2.0
Moritz,Chris,0.0
Moritz,Connor,1.0
Moritz,Dave,2.0
Moritz,Davide,0.0
Moritz,Flex,0.0
Moritz,Flo,0.0
Moritz,Franz,1.0
Moritz,Hans,0.0
Moritz,Kitchen,0.0
Moritz,Matze,0.0
Moritz,Mike,0.0
Moritz,Misch,0.0
Moritz,Mou K.,0.0
Moritz,Rainer,0.0
Moritz,Rene,0.0
Moritz,Walder,0.0
Mou K.,Alan,0.0
Mou K.,Throwaway,0.0
Mou K.,Aze,0.0
Mou K.,Brandon,2.0
Mou K.,Cafi,0.0
Mou K.,Chris,0.0
Mou K.,Connor,0.0
Mou K.,Dave,0.0
Mou K.,Davide,0.0
Mou K.,Flex,0.0
Mou K.,Flo,0.0
Mou K.,Franz,0.0
Mou K.,Hans,0.0
Mou K.,Kitchen,1.0
Mou K.,Matze,0.0
Mou K.,Mike,0.0
Mou K.,Misch,0.0
Mou K.,Moritz,0.0
Mou K.,Rainer,0.0
Mou K.,Rene,0.0
Mou K.,Walder,0.0
Rainer,Alan,0.0
Rainer,Throwaway,1.0
Rainer,Aze,2.0
Rainer,Brandon,0.0
Rainer,Cafi,0.0
Rainer,Chris,4.0
